"atoll_schema","site_version","site_name","fuze_site_id","site_record_id","latitude_degrees","longitude_degrees","street_address","city","county","state","zip_code","sector","azimuth","antenna_model","antenna_manufacturer","antenna_max_gain","antenna_centerline","lte_market","enodeb_id","max_power","main_propagation_model","radio_manufacturer","radio_model","extended_calculation_radius","enodeb_eutrancellfdd","channel_number","pci","antenna_h_bw","mechanical_tilt","electrical_tilt","ret","altitude_amsl","tac","cell_id","technology","band_class","trans_cell_type","site_record_name","site_number","site_code","location_name","fips_county_code","search_ring_id","peoplesoft_location_code","site_on_air_date","c_ran_hub_name","address_description","network_territory","network_market","network_sub_market","network_local_market","site_altitude_amsl","site_surveyed_altitude_amsl","site_support_structure_height","site_structure_type","temporary_site","lra_partner","network_extender_capable","spm_project_id","band_info","channel_bw","combined_cell_code","antenna_latitude","antenna_longitude","number_of_tx_antenna_ports","number_of_rx_antenna_ports","tx_record_id","xmtr_location","duplex_type","coverage_type","threshold","fcc_market_number","sum"
albuquerque,"0000",ABQ_COMAN,"2493859","752694","35.120317",-106.625622,"3501 Pan American Freeway NE",Albuquerque,Bernalillo,NM,"87107","3","270",SBNHH-1D65B_PORT 1 - +45_08DT_0850 ,ANDREW,"13.367","24","025","025997","43.9794000867204",WPM_SU_ALB_LOW_700_112114_PHX,Ericsson,"4449","29.999801161218485","025997_3_5","2460","449","65","0","8.0","8","5065.61696","6402","35",LTE,Cellular,Macro,"0997 ABQ_COMAN (STA-0000)","0997",STA,ABQ_COMAN - Alt 1,"35001","","286318","","","",South Central/South East,South Central,Southwest,Albuquerque,"5065.61696","5076.6","30.00000096","",No,None (VZW Owned),Yes,"",B5_10MHz_2460,"10","025","35.120317",-106.625622,"4","4","3843899",,,,,,1.4645862799563193E8
albuquerque,"0000",ABQ_COMAN,"2493859","752694","35.120317",-106.625622,"3501 Pan American Freeway NE",Albuquerque,Bernalillo,NM,"87107","3","270",SBNHH-1D65B_PORT 1 - +45_08DT_0850 ,ANDREW,"13.367","24","025","025997","41.7609125905568",WPM_SU_ALB_LOW_700_112114_PHX,Ericsson,"4449","29.999801161218485","025997_3_6","2585","449","65","0","8.0","8","5065.61696","6402","36",LTE,Cellular,Macro,"0997 ABQ_COMAN (STA-0000)","0997",STA,ABQ_COMAN - Alt 1,"35001","","286318","","","",South Central/South East,South Central,Southwest,Albuquerque,"5065.61696","5076.6","30.00000096","",No,None (VZW Owned),Yes,"",B5_5MHz_2585,"5","025","35.120317",-106.625622,"4","4","3843900",,,,,,1.464586279956321E8
albuquerque,"0000",ABQ_COMAN,"2493859","752694","35.120317",-106.625622,"3501 Pan American Freeway NE",Albuquerque,Bernalillo,NM,"87107","3","270",SBNHH-1D65B_PORT 2 - +45_05DT_2130 ,ANDREW,"15.896","24","025","025997","40",WPM_SU_ALB_LOW_PCS_112114_PHX,Ericsson,"8843","29.999801161218485","025997_3_7","67086","449","60.25","0","5.0","5","5065.61696","6402","37",LTE,AWS3,Macro,"0997 ABQ_COMAN (STA-0000)","0997",STA,ABQ_COMAN - Alt 1,"35001","","286318","","","",South Central/South East,South Central,Southwest,Albuquerque,"5065.61696","5076.6","30.00000096","",No,None (VZW Owned),Yes,"",B66_10MHz_67086,"10","025","35.120317",-106.625622,"4","4","3843901",POINT (-106.625622 35.120317),SDL,RSRP,-120.7,,1.2054767761011178E7
albuquerque,"0000",NM5_BOSTON_HILL,"676520","101703","32.772348",-108.297217,"Western NM University, James Athletic Field",Silver City,Grant,NM,"88061","1","30",JAHH-65C-R3B_PORT 5 +45_02DT_2120 ,COMMSCOPE,"15.835","188.4","026","026506","49.0308998699194",WPM_RU_HILLY_AZNM_15M_AWS_052215_PHO,"",Unknown,"99.99975145152311","026506_1_7","67086","285","63.75","4","2.0","2","6289.88537188","6658","17",LTE,AWS3,Macro,"0506 NM5_BOSTON_HILL (STA-0000)","0506",STA,NM5_BOSTON_HILL,"35017","","144312","","","",South Central/South East,South Central,Southwest,El Paso,"6289.88537188","6276","190.04866019430955","",No,None (VZW Owned),Yes,"",B66_10MHz_67086,"10","8","32.772348",-108.297217,"2","4","3858430",POINT (-108.297217 32.772348),SDL,RSRP,-117.7,,1.3047000773630977E8
albuquerque,"0000",NM5_BOSTON_HILL,"676520","101703","32.772348",-108.297217,"Western NM University, James Athletic Field",Silver City,Grant,NM,"88061","2","140",JAHH-65C-R3B_PORT 5 +45_02DT_2120 ,COMMSCOPE,"15.835","188.4","026","026506","49.0308998699194",WPM_RU_HILLY_AZNM_15M_AWS_052215_PHO,"",Unknown,"99.99975145152311","026506_2_7","67086","286","63.75","0","2.0","2","6289.88537188","6658","27",LTE,AWS3,Macro,"0506 NM5_BOSTON_HILL (STA-0000)","0506",STA,NM5_BOSTON_HILL,"35017","","144312","","","",South Central/South East,South Central,Southwest,El Paso,"6289.88537188","6276","190.04866019430955","",No,None (VZW Owned),Yes,"",B66_10MHz_67086,"10","8","32.772348",-108.297217,"2","4","3858431",POINT (-108.297217 32.772348),SDL,RSRP,-117.7,,4.2848831447853765E9
albuquerque,"0000",NM5_BOSTON_HILL,"676520","101703","32.772348",-108.297217,"Western NM University, James Athletic Field",Silver City,Grant,NM,"88061","3","240",JAHH-65C-R3B_PORT 5 +45_02DT_2120 ,COMMSCOPE,"15.835","188.4","026","026506","49.0308998699194",WPM_RU_HILLY_AZNM_15M_AWS_052215_PHO,"",Unknown,"99.99975145152311","026506_3_7","67086","287","63.75","0","2.0","2","6289.88537188","6658","37",LTE,AWS3,Macro,"0506 NM5_BOSTON_HILL (STA-0000)","0506",STA,NM5_BOSTON_HILL,"35017","","144312","","","",South Central/South East,South Central,Southwest,El Paso,"6289.88537188","6276","190.04866019430955","",No,None (VZW Owned),Yes,"",B66_10MHz_67086,"10","8","32.772348",-108.297217,"2","4","3858432",POINT (-108.297217 32.772348),SDL,RSRP,-117.7,,2.325668915919937E8
albuquerque,"0000",NM5_SAN_LORENZO,"676527","101805","32.805069",-107.952114,"1.5 miles west of San Lorenzo on Hwy 90",Mimbres,Grant,NM,"88049","1","40",WWX063X19X00-T00-2100 ,AMPHENOL,"16.9","186","026","026515","49.0308998699194",WPM_MTN_FRST_AZNM_15M_AWS_052215_PHO,Nokia,"2x40AWS","99.99975145152311","026515_1_7","67086","324","63.5","0","0.0","0","","6658","17",LTE,AWS3,Macro,"0515 NM5_SAN_LORENZO (STA-0000)","0515",STA,NM5_SAN-LORENZO,"35017","","144304","","","",South Central/South East,South Central,Southwest,El Paso,"","6959","185.00000592","",No,None (VZW Owned),Yes,"",B66_10MHz_67086,"10","8","32.805069",-107.952114,"2","4","3858457",POINT (-107.952114 32.805069),SDL,RSRP,-117.7,,2.1573135266313538E8
albuquerque,"0000",NM5_SAN_LORENZO,"676527","101805","32.805069",-107.952114,"1.5 miles west of San Lorenzo on Hwy 90",Mimbres,Grant,NM,"88049","2","140",WWX063X19X00-T00-2100 ,AMPHENOL,"16.9","186","026","026515","49.0308998699194",WPM_MTN_FRST_AZNM_15M_AWS_052215_PHO,Nokia,"2x40AWS","99.99975145152311","026515_2_7","67086","325","63.5","0","0.0","0","","6658","27",LTE,AWS3,Macro,"0515 NM5_SAN_LORENZO (STA-0000)","0515",STA,NM5_SAN-LORENZO,"35017","","144304","","","",South Central/South East,South Central,Southwest,El Paso,"","6959","185.00000592","",No,None (VZW Owned),Yes,"",B66_10MHz_67086,"10","8","32.805069",-107.952114,"2","4","3858458",POINT (-107.952114 32.805069),SDL,RSRP,-117.7,,3.651247775628974E8
albuquerque,"0000",NM5_SAN_LORENZO,"676527","101805","32.805069",-107.952114,"1.5 miles west of San Lorenzo on Hwy 90",Mimbres,Grant,NM,"88049","3","275",WWX063X19X00-T00-2100 ,AMPHENOL,"16.9","186","026","026515","49.0308998699194",WPM_MTN_FRST_AZNM_15M_AWS_052215_PHO,Nokia,"2x40AWS","99.99975145152311","026515_3_7","67086","326","63.5","0","0.0","0","","6658","37",LTE,AWS3,Macro,"0515 NM5_SAN_LORENZO (STA-0000)","0515",STA,NM5_SAN-LORENZO,"35017","","144304","","","",South Central/South East,South Central,Southwest,El Paso,"","6959","185.00000592","",No,None (VZW Owned),Yes,"",B66_10MHz_67086,"10","8","32.805069",-107.952114,"2","4","3858459",POINT (-107.952114 32.805069),SDL,RSRP,-117.7,,1.208996279422317E8
albuquerque,"2019",NM1_TAOS_VERTEX_COLT,"616449718","753391","36.408875",-105.56996,"211 Paseo Del Pueblo Norte",Taos,Taos,NM,"87571","1","130",SBNHH-1D45A_PORT 6 -45_01DT_2120 ,ANDREW,"16.969999","40","025","025006","44.7712125471966",WPM_RU_AZNM_15M_AWS_052215_PHO,ALU,RRH 4x30,"29.999801161218485","025006_1_4","975","406","43.75","0","1.0","1","","6404","14",LTE,PCS,"","0006 NM1_TAOS_VERTEX_COLT (STA-2019)","0006",STA,NM1_TAOS_VERTEX_TEMP - A,"35055","15707307","560849","","",null,South Central/South East,South Central,Southwest,Albuquerque,"","6996","60.00000192","",No,"",No,"",B2_5MHz_975,"5","025","36.408875",-105.56996,"4","4","3870374",,,,,,6.159286795646866E7
