"atoll_schema","site_version","site_name","fuze_site_id","site_record_id","latitude_degrees","longitude_degrees","street_address","city","county","state","zip_code","sector","azimuth","antenna_model","antenna_manufacturer","antenna_max_gain","antenna_centerline","lte_market","enodeb_id","max_power","main_propagation_model","radio_manufacturer","radio_model","extended_calculation_radius","enodeb_eutrancellfdd","channel_number","pci","antenna_h_bw","mechanical_tilt","electrical_tilt","ret","altitude_amsl","tac","cell_id","technology","band_class","trans_cell_type","site_record_name","site_number","site_code","location_name","fips_county_code","search_ring_id","peoplesoft_location_code","site_on_air_date","c_ran_hub_name","address_description","network_territory","network_market","network_sub_market","network_local_market","site_altitude_amsl","site_surveyed_altitude_amsl","site_support_structure_height","site_structure_type","temporary_site","lra_partner","network_extender_capable","spm_project_id","band_info","channel_bw","combined_cell_code","antenna_latitude","antenna_longitude","number_of_tx_antenna_ports","number_of_rx_antenna_ports","tx_record_id","xmtr_location","duplex_type","coverage_type","threshold","fcc_market_number","sum"
albuquerque,"0000",ABQ_COMAN,"2493859","752694","35.120317",-106.625622,"3501 Pan American Freeway NE",Albuquerque,Bernalillo,NM,"87107","1","30",SBNHH-1D65B_PORT 1 - +45_08DT_0850 ,ANDREW,"13.367","24","025","025997","43.9794000867204",WPM_SU_ALB_LOW_700_112114_PHX,Ericsson,"4449","29.999801161218485","025997_1_5","2460","447","65","0","8.0","8","5065.61696","6402","15",LTE,Cellular,Macro,"0997 ABQ_COMAN (STA-0000)","0997",STA,ABQ_COMAN - Alt 1,"35001","","286318","","","",South Central/South East,South Central,Southwest,Albuquerque,"5065.61696","5076.6","30.00000096","",No,None (VZW Owned),Yes,"",B5_10MHz_2460,"10","025","35.120317",-106.625622,"4","4","3843887",,,,,,4.925937648629212E7
albuquerque,"0000",ABQ_COMAN,"2493859","752694","35.120317",-106.625622,"3501 Pan American Freeway NE",Albuquerque,Bernalillo,NM,"87107","1","30",SBNHH-1D65B_PORT 1 - +45_08DT_0850 ,ANDREW,"13.367","24","025","025997","41.7609125905568",WPM_SU_ALB_LOW_700_112114_PHX,Ericsson,"4449","29.999801161218485","025997_1_6","2585","447","65","0","8.0","8","5065.61696","6402","16",LTE,Cellular,Macro,"0997 ABQ_COMAN (STA-0000)","0997",STA,ABQ_COMAN - Alt 1,"35001","","286318","","","",South Central/South East,South Central,Southwest,Albuquerque,"5065.61696","5076.6","30.00000096","",No,None (VZW Owned),Yes,"",B5_5MHz_2585,"5","025","35.120317",-106.625622,"4","4","3843888",,,,,,4.925937648629212E7
albuquerque,"0000",ABQ_COMAN,"2493859","752694","35.120317",-106.625622,"3501 Pan American Freeway NE",Albuquerque,Bernalillo,NM,"87107","1","30",SBNHH-1D65B_PORT 2 - +45_03DT_2130 ,ANDREW,"16.077","24","025","025997","40",WPM_SU_ALB_LOW_PCS_112114_PHX,Ericsson,"8843","29.999801161218485","025997_1_7","67086","447","61.75","0","3.0","3","5065.61696","6402","17",LTE,AWS3,Macro,"0997 ABQ_COMAN (STA-0000)","0997",STA,ABQ_COMAN - Alt 1,"35001","","286318","","","",South Central/South East,South Central,Southwest,Albuquerque,"5065.61696","5076.6","30.00000096","",No,None (VZW Owned),Yes,"",B66_10MHz_67086,"10","025","35.120317",-106.625622,"4","4","3843889",POINT (-106.625622 35.120317),SDL,RSRP,-120.7,,1.6323988253700133E7
albuquerque,"0000",ABQ_COMAN,"2493859","752694","35.120317",-106.625622,"3501 Pan American Freeway NE",Albuquerque,Bernalillo,NM,"87107","2","150",SBNHH-1D65B_PORT 1 - +45_07DT_0725 ,ANDREW,"12.59","24","025","025997","46.0205999132796",WPM_SU_ALB_LOW_700_112114_PHX,Ericsson,"4449","29.999801161218485","025997_2","5230","448","69.25","0","7.0","7","5065.61696","6402","2",LTE,"700",Macro,"0997 ABQ_COMAN (STA-0000)","0997",STA,ABQ_COMAN - Alt 1,"35001","","286318","","","",South Central/South East,South Central,Southwest,Albuquerque,"5065.61696","5076.6","30.00000096","",No,None (VZW Owned),Yes,"",B13_10MHz_5230,"10","025","35.120317",-106.625622,"4","4","3843890",,,,,,8.600071165415038E7
albuquerque,"0000",ABQ_COMAN,"2493859","752694","35.120317",-106.625622,"3501 Pan American Freeway NE",Albuquerque,Bernalillo,NM,"87107","2","150",SBNHH-1D65B_PORT 2 - +45_03DT_1900 ,ANDREW,"15.731","24","025","025997","43.0102999566398",WPM_SU_ALB_LOW_PCS_112114_PHX,Ericsson,"8843","29.999801161218485","025997_2_4","975","448","54.75","0","3.0","3","5065.61696","6402","24",LTE,PCS,Macro,"0997 ABQ_COMAN (STA-0000)","0997",STA,ABQ_COMAN - Alt 1,"35001","","286318","","","",South Central/South East,South Central,Southwest,Albuquerque,"5065.61696","5076.6","30.00000096","",No,None (VZW Owned),Yes,"",B2_5MHz_975,"5","025","35.120317",-106.625622,"4","4","3843891",,,,,,1.0886651406610277E7
albuquerque,"0000",ABQ_COMAN,"2493859","752694","35.120317",-106.625622,"3501 Pan American Freeway NE",Albuquerque,Bernalillo,NM,"87107","2","150",SBNHH-1D65B_PORT 2 - +45_04DT_2130 ,ANDREW,"16.016001","24","025","025997","46.9897000433602",WPM_SU_ALB_LOW_PCS_112114_PHX,Ericsson,"8843","29.999801161218485","025997_2_2","2125","448","61.25","0","4.0","4","5065.61696","6402","22",LTE,AWS,Macro,"0997 ABQ_COMAN (STA-0000)","0997",STA,ABQ_COMAN - Alt 1,"35001","","286318","","","",South Central/South East,South Central,Southwest,Albuquerque,"5065.61696","5076.6","30.00000096","",No,None (VZW Owned),Yes,"",B4_15MHz_2125,"15","025","35.120317",-106.625622,"4","4","3843892",,,,,,5630962.041073231
albuquerque,"0000",ABQ_COMAN,"2493859","752694","35.120317",-106.625622,"3501 Pan American Freeway NE",Albuquerque,Bernalillo,NM,"87107","2","150",SBNHH-1D65B_PORT 1 - +45_07DT_0850 ,ANDREW,"13.367","24","025","025997","43.9794000867204",WPM_SU_ALB_LOW_700_112114_PHX,Ericsson,"4449","29.999801161218485","025997_2_5","2460","448","64.75","0","7.0","7","5065.61696","6402","25",LTE,Cellular,Macro,"0997 ABQ_COMAN (STA-0000)","0997",STA,ABQ_COMAN - Alt 1,"35001","","286318","","","",South Central/South East,South Central,Southwest,Albuquerque,"5065.61696","5076.6","30.00000096","",No,None (VZW Owned),Yes,"",B5_10MHz_2460,"10","025","35.120317",-106.625622,"4","4","3843893",,,,,,4.454667130654171E7
albuquerque,"0000",ABQ_COMAN,"2493859","752694","35.120317",-106.625622,"3501 Pan American Freeway NE",Albuquerque,Bernalillo,NM,"87107","2","150",SBNHH-1D65B_PORT 1 - +45_07DT_0850 ,ANDREW,"13.367","24","025","025997","41.7609125905568",WPM_SU_ALB_LOW_700_112114_PHX,Ericsson,"4449","29.999801161218485","025997_2_6","2585","448","64.75","0","7.0","7","5065.61696","6402","26",LTE,Cellular,Macro,"0997 ABQ_COMAN (STA-0000)","0997",STA,ABQ_COMAN - Alt 1,"35001","","286318","","","",South Central/South East,South Central,Southwest,Albuquerque,"5065.61696","5076.6","30.00000096","",No,None (VZW Owned),Yes,"",B5_5MHz_2585,"5","025","35.120317",-106.625622,"4","4","3843894",,,,,,4.454667130654171E7
albuquerque,"0000",ABQ_COMAN,"2493859","752694","35.120317",-106.625622,"3501 Pan American Freeway NE",Albuquerque,Bernalillo,NM,"87107","2","150",SBNHH-1D65B_PORT 2 - +45_04DT_2130 ,ANDREW,"16.016001","24","025","025997","40",WPM_SU_ALB_LOW_PCS_112114_PHX,Ericsson,"8843","29.999801161218485","025997_2_7","67086","448","61.25","0","4.0","4","5065.61696","6402","27",LTE,AWS3,Macro,"0997 ABQ_COMAN (STA-0000)","0997",STA,ABQ_COMAN - Alt 1,"35001","","286318","","","",South Central/South East,South Central,Southwest,Albuquerque,"5065.61696","5076.6","30.00000096","",No,None (VZW Owned),Yes,"",B66_10MHz_67086,"10","025","35.120317",-106.625622,"4","4","3843895",POINT (-106.625622 35.120317),SDL,RSRP,-120.7,,5669672.180822527
albuquerque,"0000",ABQ_COMAN,"2493859","752694","35.120317",-106.625622,"3501 Pan American Freeway NE",Albuquerque,Bernalillo,NM,"87107","3","270",SBNHH-1D65B_PORT 1 - +45_08DT_0725 ,ANDREW,"12.548","24","025","025997","46.0205999132796",WPM_SU_ALB_LOW_700_112114_PHX,Ericsson,"4449","29.999801161218485","025997_3","5230","449","69.5","0","8.0","8","5065.61696","6402","3",LTE,"700",Macro,"0997 ABQ_COMAN (STA-0000)","0997",STA,ABQ_COMAN - Alt 1,"35001","","286318","","","",South Central/South East,South Central,Southwest,Albuquerque,"5065.61696","5076.6","30.00000096","",No,None (VZW Owned),Yes,"",B13_10MHz_5230,"10","025","35.120317",-106.625622,"4","4","3843896",,,,,,2.12252582938182E8
albuquerque,"0000",ABQ_COMAN,"2493859","752694","35.120317",-106.625622,"3501 Pan American Freeway NE",Albuquerque,Bernalillo,NM,"87107","3","270",SBNHH-1D65B_PORT 2 - +45_06DT_1900 ,ANDREW,"15.61","24","025","025997","43.0102999566398",WPM_SU_ALB_LOW_PCS_112114_PHX,Ericsson,"8843","29.999801161218485","025997_3_4","975","449","55.25","0","6.0","6","5065.61696","6402","34",LTE,PCS,Macro,"0997 ABQ_COMAN (STA-0000)","0997",STA,ABQ_COMAN - Alt 1,"35001","","286318","","","",South Central/South East,South Central,Southwest,Albuquerque,"5065.61696","5076.6","30.00000096","",No,None (VZW Owned),Yes,"",B2_5MHz_975,"5","025","35.120317",-106.625622,"4","4","3843897",,,,,,1.1871002936441585E7
albuquerque,"0000",ABQ_COMAN,"2493859","752694","35.120317",-106.625622,"3501 Pan American Freeway NE",Albuquerque,Bernalillo,NM,"87107","3","270",SBNHH-1D65B_PORT 2 - +45_05DT_2130 ,ANDREW,"15.896","24","025","025997","46.9897000433602",WPM_SU_ALB_LOW_PCS_112114_PHX,Ericsson,"8843","29.999801161218485","025997_3_2","2125","449","60.25","0","5.0","5","5065.61696","6402","32",LTE,AWS,Macro,"0997 ABQ_COMAN (STA-0000)","0997",STA,ABQ_COMAN - Alt 1,"35001","","286318","","","",South Central/South East,South Central,Southwest,Albuquerque,"5065.61696","5076.6","30.00000096","",No,None (VZW Owned),Yes,"",B4_15MHz_2125,"15","025","35.120317",-106.625622,"4","4","3843898",,,,,,1.1940442669617277E7
